Key	English	Welsh
isImporterVatRegistered.error.required	Select yes if the importer is VAT registered	Dewiswch ‘Iawn’ os yw’r mewnforiwr wedi’i gofrestru ar gyfer TAW
vatPaid.title	VAT overpayment	Gordaliad TAW
vatPaid.checkYourAnswersLabel	VAT overpayment	Gordaliad TAW
vatPaid.single.entry.hint	Do not include any agent fees.	Peidiwch â chynnwys unrhyw ffioedd asiant.
vatPaid.multiple.entry.hint	This should be the total amount of overpayment for all entries. Do not include any agent fees.	Dylai hyn fod yn gyfanswm y gordaliad ar gyfer pob cofnod. Peidiwch â chynnwys unrhyw ffioedd asiant.
vatPaid.actualamountpaid.heading	Amount of VAT that was paid to HMRC	Swm y TAW a dalwyd i CThEM
vatPaid.actualamountpaid.error.required	Enter the amount of VAT that was paid to HMRC	Nodwch swm y TAW a dalwyd i CThEM
vatPaid.actualamountpaid.error.notANumber	The amount of VAT that was paid to HMRC must be a number	Mae’n rhaid i swm y TAW a dalwyd i CThEM fod yn rhif
vatPaid.actualamountpaid.error.greaterThanZero	The amount of VAT that was paid to HMRC must be more than £0	Mae’n rhaid i swm y TAW a dalwyd i CThEM fod yn fwy na £0
vatPaid.actualamountpaid.error.length	The amount of VAT that was paid to HMRC must £99,999,999,999.99 or less	Mae’n rhaid i swm y TAW a dalwyd i CThEM fod yn £99,999,999,999.99 neu lai
vatPaid.actualamountpaid.error.decimalPlaces	The amount of VAT that was paid to HMRC must be an amount of money, like £123.45 or £248	Mae’n rhaid i swm y TAW a dalwyd i CThEM fod yn swm o arian, megis £123.45 neu £248
vatPaid.shouldhavepaid.heading	Amount of VAT that you think should have been paid	Swm y TAW y credwch y dylid bod wedi’i thalu
vatPaid.shouldhavepaid.hint	For refunded or destroyed goods, this amount can be £0.	Ar gyfer nwyddau sydd wedi’u had-dalu neu eu dinistrio, gall y swm hwn fod yn £0.
vatPaid.shouldhavepaid.error.required	Enter the amount of VAT that should have been paid	Nodwch swm y TAW y dylid bod wedi’i thalu
vatPaid.shouldhavepaid.error.greaterThanZero	The amount cannot be a negative number	Ni all y swm fod yn rhif negyddol
vatPaid.shouldhavepaid.error.length	The amount of VAT that should have been paid must £99,999,999,999.99 or less	Mae’n rhaid i swm y TAW y dylid bod wedi’i thalu fod yn £99,999,999,999.99 neu lai
vatPaid.shouldhavepaid.error.decimalPlaces	The amount of VAT that should have been paid must be an amount of money, like £123.45 or £248	Mae’n rhaid i swm y TAW y dylid bod wedi’i thalu fod yn swm o arian, megis £123.45 neu £248
vatPaid.shouldhavepaid.error.notANumber	The amount of VAT that should have been paid must be a number	Mae’n rhaid i swm y TAW y dylid bod wedi’i thalu fod yn rhif
vatPaid.amounts.error.same	The amount of VAT that should have been paid cannot be the same as the amount of VAT that was paid to HMRC	Ni all swm y TAW y dylid bod wedi’i thalu fod yr un fath â swm y TAW a dalwyd i CThEM
vatPaid.amounts.error.greater	The amount of import VAT that should have been paid to HMRC cannot be more than the amount that was paid	Ni all swm y TAW mewnforio y dylid bod wedi’i thalu i CThEM fod yn fwy na’r swm a dalwyd
customsDutyPaid.title	Customs Duty overpayment	Gordaliad o’r Doll Dramor
customsDutyPaid.heading	Customs Duty overpayment	Gordaliad o’r Doll Dramor
customsDutyPaid.single_entry.hint	Do not include any agent fees.	Peidiwch â chynnwys unrhyw ffioedd asiant.
customsDutyPaid.multiple_entry.hint	This should be the total amount of overpayment for all entries. Do not include any agent fees.	Dylai hyn fod yn gyfanswm y gordaliad ar gyfer pob cofnod. Peidiwch â chynnwys unrhyw ffioedd asiant.
customsDutyPaid.actualamountpaid.heading	Amount of Customs Duty that was paid to HMRC	Swm y Doll Dramor a dalwyd i CThEM
customsDutyPaid.actualamountpaid.error.required	Enter the amount of Customs Duty that was paid to HMRC	Nodwch swm y Doll Dramor a dalwyd i CThEM
customsDutyPaid.actualamountpaid.error.greaterThanZero	The amount of Customs Duty that was paid to HMRC must be more than £0	Mae’n rhaid i swm y Doll Dramor a dalwyd i CThEM fod yn fwy na £0
customsDutyPaid.actualamountpaid.error.notANumber	The amount of Customs Duty that was paid to HMRC must be a number	Mae’n rhaid i swm y Doll Dramor a dalwyd i CThEM fod yn rhif
customsDutyPaid.actualamountpaid.error.length	The amount of Customs Duty that was paid to HMRC must £99,999,999,999.99 or less	Mae’n rhaid i swm y Doll Dramor a dalwyd i CThEM fod yn £99,999,999,999.99 neu lai
customsDutyPaid.actualamountpaid.error.decimalPlaces	The amount of Customs Duty that was paid to HMRC must be an amount of money, like £123.45 or £248	Mae’n rhaid i swm y Doll Dramor a dalwyd i CThEM fod yn swm o arian, megis £123.45 neu £248
customsDutyPaid.checkYourAnswersLabel	How much Customs Duty was paid to HMRC?	Faint o Doll Dramor a dalwyd i CThEM?
customsDutyPaid.checkYourAnswersLabel.hint	This should be the total amount of overpayment for all entries.	Dylai hyn fod yn gyfanswm y gordaliad ar gyfer pob cofnod.
customsDutyPaid.shouldhavepaid.heading	Amount of Customs Duty that you think should have been paid	Swm y Doll Dramor y credwch y dylid bod wedi’i thalu
customsDutyPaid.shouldhavepaid.hint	For refunded or destroyed goods, this amount can be £0.	Ar gyfer nwyddau sydd wedi’u had-dalu neu eu dinistrio, gall y swm hwn fod yn £0.
customsDutyPaid.shouldhavepaid.error.required	Enter the amount of Customs Duty that should have been paid	Nodwch swm y Doll Dramor y dylid bod wedi’i thalu
customsDutyPaid.shouldhavepaid.error.greaterThanZero	The amount cannot be a negative number	Ni all y swm fod yn rhif negyddol
customsDutyPaid.shouldhavepaid.error.notANumber	The amount of Customs Duty that should have been paid must be a number	Mae’n rhaid i swm y Doll Dramor y dylid bod wedi’i thalu fod yn rhif
customsDutyPaid.shouldhavepaid.error.length	The amount of Customs Duty that should have been paid must £99,999,999,999.99 or less	Mae’n rhaid i swm y Doll Dramor y dylid bod wedi’i thalu fod yn £99,999,999,999.99 neu lai
customsDutyPaid.shouldhavepaid.error.decimalPlaces	The amount of Customs Duty that should have been paid must be an amount of money, like £123.45 or £248	Mae’n rhaid i swm y Doll Dramor y dylid bod wedi’i thalu fod yn swm o arian, megis £123.45 neu £248
customsDutyPaid.amounts.error.same	The amount of Customs Duty that should have been paid cannot be the same as the amount of Customs Duty that was paid to HMRC	Ni all swm y Doll Dramor y dylid bod wedi’i thalu fod yr un fath â swm y Doll Dramor a dalwyd i CThEM
customsDutyPaid.amounts.error.greater	The amount of customs duty that should have been paid to HMRC cannot be more than the amount that was paid	Ni all swm y Doll Dramor y dylid bod wedi’i thalu i CThEM fod yn fwy na’r swm a dalwyd
otherDutiesPaid.title	Overpayment of other duties	Gordaliad o dollau eraill
otherDutiesPaid.heading	Overpayment of other duties	Gordaliad o dollau eraill
otherDutiesPaid.single_entry.hint	Do not include any agent fees.	Peidiwch â chynnwys unrhyw ffioedd asiant.
otherDutiesPaid.multiple_entry.hint	This should be the total amount of overpayment for all entries. Do not include any agent fees.	Dylai hyn fod yn gyfanswm y gordaliad ar gyfer pob cofnod. Peidiwch â chynnwys unrhyw ffioedd asiant.
otherDutiesPaid.actualamountpaid.heading	Amount of other duties that were paid to HMRC	Swm y tollau eraill a dalwyd i CThEM
otherDutiesPaid.actualamountpaid.error.required	Enter the amount of other duties that were paid to HMRC	Nodwch swm y tollau eraill a dalwyd i CThEM
otherDutiesPaid.actualamountpaid.error.greaterThanZero	The amount of other duties that were paid to HMRC must be more than £0	Mae’n rhaid i swm y tollau eraill a dalwyd i CThEM fod yn fwy na £0
otherDutiesPaid.actualamountpaid.error.notANumber	The amount of other duties that were paid to HMRC must be a number	Mae’n rhaid i swm y tollau eraill a dalwyd i CThEM fod yn rhif
otherDutiesPaid.actualamountpaid.error.length	The amount of other duties that were paid to HMRC must £99,999,999,999.99 or less	Mae’n rhaid i swm y tollau eraill a dalwyd i CThEM fod yn £99,999,999,999.99 neu lai
otherDutiesPaid.actualamountpaid.error.decimalPlaces	The amount of other duties that were paid to HMRC must be an amount of money, like £123.45 or £248	Mae’n rhaid i swm y tollau eraill a dalwyd i CThEM fod yn swm o arian, megis £123.45 neu £248
otherDutiesPaid.shouldhavepaid.heading	Amount of other duties that you think should have been paid	Swm y tollau eraill y credwch y dylid bod wedi’u talu
otherDutiesPaid.shouldhavepaid.hint	For refunded or destroyed goods, this amount can be £0.	Ar gyfer nwyddau sydd wedi’u had-dalu neu eu dinistrio, gall y swm hwn fod yn £0.
otherDutiesPaid.shouldhavepaid.error.required	Enter the amount of other duties that should have been paid	Nodwch swm y tollau eraill y dylid bod wedi’u talu
otherDutiesPaid.shouldhavepaid.error.greaterThanZero	The amount cannot be a negative number	Ni all y swm fod yn rhif negyddol
otherDutiesPaid.shouldhavepaid.error.notANumber	The amount of other duties that should have been paid must be a number	Mae’n rhaid i swm y tollau eraill y dylid bod wedi’u talu fod yn rhif
otherDutiesPaid.shouldhavepaid.error.length	The amount of other duties that should have been paid must £99,999,999,999.99 or less	Mae’n rhaid i swm y tollau eraill y dylid bod wedi’u talu fod yn £99,999,999,999.99 neu lai
otherDutiesPaid.shouldhavepaid.error.decimalPlaces	The amount of other duties that should have been paid must be an amount of money, like £123.45 or £248	Mae’n rhaid i swm y tollau eraill y dylid bod wedi’u talu fod yn swm o arian, megis £123.45 neu £248
otherDutiesPaid.amounts.error.same	The amount of other duties that should have been paid cannot be the same as the amount of other duties that were paid to HMRC	Ni all swm y tollau eraill y dylid bod wedi’u talu fod yr un fath â swm y tollau eraill a dalwyd i CThEM
otherDutiesPaid.amounts.error.greater	The amount of other duties that should have been paid to HMRC cannot be more than the amount that was paid	Ni all swm y tollau eraill y dylid bod wedi’u talu i CThEM fod yn fwy na’r swm a dalwyd
otherDutiesPaid.checkYourAnswersLabel	How much was paid in other duties to HMRC?	Faint a dalwyd mewn tollau eraill i CThEM?
importerAddress.title	What is your address?	Beth yw’ch cyfeiriad?
importerAddress.heading	What is your address?	Beth yw’ch cyfeiriad?
importerAddress.checkYourAnswersLabel	Importer address	Cyfeiriad y mewnforiwr
agent.importerAddress.title	What is the importer’s address?	Beth yw cyfeiriad y mewnforiwr?
agent.importerAddress.heading	What is the importer’s address?	Beth yw cyfeiriad y mewnforiwr?
agent.importerAddress.checkYourAnswersLabel	What is the importer’s address?	Beth yw cyfeiriad y mewnforiwr?
importerAddress.manual	Enter address manually	Nodwch y cyfeiriad â llaw
importerAddress.postCode	Postcode	Cod post
importerAddress.line1.error.required	Enter Importer’s address line 1	Nodwch gyfeiriad – llinell 1 y mewnforiwr
importerAddress.line1.error.length	Address line 1 must be 128 characters or less	Mae’n rhaid i gyfeiriad – llinell 1 fod yn 128 o gymeriadau neu lai
importerAddress.line2.error.length	Address line 2 must be 128 characters or less	Mae’n rhaid i gyfeiriad – llinell 2 fod yn 128 o gymeriadau neu lai
importerAddress.city.error.required	Enter Importer’s city	Nodwch ddinas y mewnforiwr
importerAddress.city.error.length	City must be 64 characters or less	Mae’n rhaid i’r ddinas fod yn 64 o gymeriadau neu lai
importerAddress.region.error.required	Enter Importer’s region	Nodwch ranbarth y mewnforiwr
importerAddress.region.error.length	Region must be 64 characters or less	Mae’n rhaid i’r rhanbarth fod yn 64 o gymeriadau neu lai
importerAddress.countryCode.error.required	Enter Importer’s country code	Rhowch god gwlad y mewnforiwr
importerAddress.countryCode.error.length	Country code must be 2 characters or less	Mae’n rhaid i god y wlad fod yn 2 gymeriad neu lai
importerAddress.postalCode.error.invalid	Enter a real postcode	Nodwch god post go iawn
importerAddress.hint	We will use this to send letters about this application.	Byddwn yn defnyddio hwn i anfon llythyrau ynghylch y cais hwn.
agentImporterAddress.title	What is your business address?	Beth yw cyfeiriad eich busnes?
agentImporterAddress.heading	What is your business address?	Beth yw cyfeiriad eich busnes?
agentImporterAddress.checkYourAnswersLabel	Your address	Eich cyfeiriad
agentImporterAddress.hint	We will use this to send letters about this application.	Byddwn yn defnyddio hwn i anfon llythyrau ynghylch y cais hwn.
agentImporterAddress.line1.error.required	Enter Address line 1	Nodwch gyfeiriad – llinell 1
agentImporterAddress.line1.error.length	Address line 1 must be 128 characters or less	Mae’n rhaid i gyfeiriad – llinell 1 fod yn 128 o gymeriadau neu lai
agentImporterAddress.line1.error.invalid	Address line 1 must only include letters a to z, numbers 0 to 9, ampersands (&), apostrophes, commas, exclamation marks, forward slashes, full stops, hyphens, round brackets, speech marks, underscores and spaces	Mae cyfeiriad – llinell 1 ond yn gallu cynnwys y llythrennau a i z, y rhifau 0 i 9, ampersandau (&), collnodau, comas, ebychnodau, blaenslaesau, atalnodau llawn, cysylltnodau, cromfachau crwn, dyfynodau, tanlinellau a bylchau
agentImporterAddress.line2.error.length	Address line 2 must be 128 characters or less	Mae’n rhaid i gyfeiriad – llinell 2 fod yn 128 o gymeriadau neu lai
agentImporterAddress.line2.error.invalid	Address line 2 must only include letters a to z, numbers 0 to 9, ampersands (&), apostrophes, commas, exclamation marks, forward slashes, full stops, hyphens, round brackets, speech marks, underscores and spaces	Mae cyfeiriad – llinell 2 ond yn gallu cynnwys y llythrennau a i z, y rhifau 0 i 9, ampersandau (&), collnodau, comas, ebychnodau, blaenslaesau, atalnodau llawn, cysylltnodau, cromfachau crwn, dyfynodau, tanlinellau a bylchau
agentImporterAddress.city.error.required	Enter city	Nodwch ddinas
agentImporterAddress.city.error.length	City must be 64 characters or less	Mae’n rhaid i’r ddinas fod yn 64 o gymeriadau neu lai
agentImporterAddress.city.error.invalid	City must only include letters a to z, numbers 0 to 9, ampersands (&), apostrophes, commas, exclamation marks, forward slashes, full stops, hyphens, round brackets, speech marks, underscores and spaces	Mae’r ddinas ond yn gallu cynnwys y llythrennau a i z, y rhifau 0 i 9, ampersandau (&), collnodau, comas, ebychnodau, blaenslaesau, atalnodau llawn, cysylltnodau, cromfachau crwn, dyfynodau, tanlinellau a bylchau
agentImporterAddress.region.error.required	Enter region	Nodwch ranbarth
agentImporterAddress.region.error.length	Region must be 64 characters or less	Mae’n rhaid i’r rhanbarth fod yn 64 o gymeriadau neu lai
agentImporterAddress.region.error.invalid	Region must only include letters a to z, numbers 0 to 9, ampersands (&), apostrophes, commas, exclamation marks, forward slashes, full stops, hyphens, round brackets, speech marks, underscores and spaces	Mae’r rhanbarth ond yn gallu cynnwys y llythrennau a i z, y rhifau 0 i 9, ampersandau (&), collnodau, comas, ebychnodau, blaenslaesau, atalnodau llawn, cysylltnodau, cromfachau crwn, dyfynodau, tanlinellau a bylchau
agentImporterAddress.countryCode.error.required	Enter country code	Nodwch god y wlad
agentImporterAddress.countryCode.error.length	Country code must be 64 characters or less	Mae’n rhaid i god y wlad fod yn 64 o gymeriadau neu lai
agentImporterAddress.countryCode.error.invalid	Country code includes 1 or more characters that cannot be used	Mae cod y wlad yn cynnwys 1 neu fwy o gymeriadau nad oes modd eu defnyddio
agentImporterAddress.postalCode.error.invalid	Enter a real postcode	Nodwch god post go iawn
importerManualAddress.title	Enter the importer’s address	Nodwch gyfeiriad y mewnforiwr
importerManualAddress.heading	Enter the importer’s address	Nodwch gyfeiriad y mewnforiwr
importerManualAddress.confirmation.title	Confirm the importer’s address	Cadarnhewch gyfeiriad y mewnforiwr
importerManualAddress.addressLine1.heading	Address line 1	Cyfeiriad – llinell 1
importerManualAddress.addressLine2.heading	Address line 2 (optional)	Cyfeiriad – llinell 2 (dewisol)
importerManualAddress.city.heading	Town or city	Tref neu ddinas
importerManualAddress.county.heading	County	Sir
importerManualAddress.country.heading	Country	Gwlad
importerManualAddress.checkYourAnswersLabel	Importer address	Cyfeiriad y mewnforiwr
importerManualAddress.error.required	Enter the importer’s address	Nodwch gyfeiriad y mewnforiwr
importerManualAddress.hint	We will use this to send letters about this application.	Byddwn yn defnyddio hwn i anfon llythyrau ynghylch y cais hwn.
agent.importerManualAddress.hint	We may use these details to contact the importer about this claim.	Efallai y byddwn yn defnyddio’r manylion hyn i gysylltu â’r mewnforiwr ynghylch yr hawliad hwn.
importerManualAddress.error.length	Address must be 128 characters or less	Mae’n rhaid i’r cyfeiriad fod yn 128 o gymeriadau neu lai
importerYourAddress.title	Enter your address	Nodwch eich cyfeiriad
importerYourAddress.heading	Enter your address	Nodwch eich cyfeiriad
importerYourAddress.confirmation.title	Confirm your address	Cadarnhewch eich cyfeiriad
confirmation.title	Application complete	Cais wedi’i gwblhau
confirmation.heading	Application complete	Cais wedi’i gwblhau
confirmation.referenceNumber	Your application reference number	Cyfeirnod eich cais
confirmation.application.received	We have received your application.	Mae’ch cais wedi dod i law.
confirmation.print	Print or save a summary of your application and reference number	Argraffwch neu cadwch grynodeb o’ch cais a’ch cyfeirnod
confirmation.print.text	as we will not send you an email confirmation.	gan na fyddwn yn anfon cadarnhad atoch drwy e-bost.
confirmation.review	View a summary of your application and reference number (opens in a new tab)	Bwrw golwg dros grynodeb o’ch cais a’ch cyfeirnod (yn agor tab newydd)
confirmation.start	Start a new application	Dechrau cais newydd
confirmation.whatHappensNext.heading	What happens next	Yr hyn sy’n digwydd nesaf
confirmation.whatHappensNext.p1	We will process your application and send our decision by post within 30 days.	Byddwn yn prosesu’ch cais ac yn anfon ein penderfyniad drwy’r post cyn pen 30 diwrnod.
confirmation.whatHappensNext.p2	We will contact you if we need more information to complete your application.	Byddwn yn cysylltu â chi os bydd angen rhagor o wybodaeth arnom i gwblhau’ch cais.
confirmation.improveService.link.text1	What did you think of this service?	Beth oedd eich barn am y gwasanaeth hwn?
confirmation.amend.title	Information sent	Gwybodaeth wedi’i hanfon
confirmation.amend.heading	Information sent	Gwybodaeth wedi’i hanfon
confirmation.summary.title	Your application details	Manylion eich cais
confirmation.summary.section.heading	Application	Cais
confirmation.summary.reference	Application reference number	Cyfeirnod y cais
confirmation.summary.datetime	Submitted	Wedi cyflwyno
amend.confirmation.whatHappensNext.heading	What happens next	Yr hyn sy’n digwydd nesaf
amend.confirmation.receivedInformation	We have received your information.	Mae’ch gwybodaeth wedi dod i law.
amend.confirmation.print	Print or save a summary of your additional information and reference number	Argraffwch neu cadwch grynodeb o’ch gwybodaeth ychwanegol a’ch cyfeirnod
amend.confirmation.print.text	as we will not send you an email confirmation.	gan na fyddwn yn anfon cadarnhad atoch drwy e-bost.
amend.confirmation.review	View a summary of your additional information and reference number (opens in a new tab)	Bwrw golwg dros grynodeb o’ch gwybodaeth ychwanegol a’ch cyfeirnod (yn agor tab newydd)
amend.confirmation.amendWhatHappensNext.p1	We will process your application and send our decision by post within 30 days.	Byddwn yn prosesu’ch cais ac yn anfon ein penderfyniad drwy’r post cyn pen 30 diwrnod.
amend.confirmation.amendWhatHappensNext.p2	We will contact you if we need more information to complete your application.	Byddwn yn cysylltu â chi os bydd angen rhagor o wybodaeth arnom i gwblhau’ch cais.
amend.confirmation.moreInformation.heading	If we do not need more information	Os nad oes angen rhagor o wybodaeth arnom
amend.confirmation.moreInformation.p1	We will continue processing your application.	Byddwn yn parhau i brosesu’ch cais.
amend.confirmation.helpUs.heading	Help us improve our services	Helpu ni i wella ein gwasanaethau
amend.confirmation.helpUs.p1	We use your feedback to make our services better.	Rydym yn defnyddio’ch adborth i wella ein gwasanaethau.
amend.confirmation.helpUs.p2	What did you think of this service?	Beth oedd eich barn am y gwasanaeth hwn?
amend.confirmation.helpUs.p3	(takes one minute)	(mae’n cymryd munud)
amend.confirmation.summary.title	Your amended application details	Manylion eich cais diwygiedig
agentImporterManualAddress.title	Enter your business address	Nodwch gyfeiriad eich busnes
agentImporterManualAddress.heading	Enter your business address	Nodwch gyfeiriad eich busnes
agentImporterManualAddress.confirmation.title	Confirm your business address	Cadarnhewch gyfeiriad eich busnes
agentImporterManualAddress.hint	We will use this to send letters about this application.	Byddwn yn defnyddio hwn i anfon llythyrau ynghylch y cais hwn.
agentImporterManualAddress.checkYourAnswersLabel	Your address	Eich cyfeiriad
agentImporterManualAddress.line1.heading	Address line 1	Cyfeiriad – llinell 1
agentImporterManualAddress.line1.error.required	Enter address line 1	Nodwch gyfeiriad – llinell 1
agentImporterManualAddress.line1.error.length	Address line 1 must be 128 characters or less	Mae’n rhaid i gyfeiriad – llinell 1 fod yn 128 o gymeriadau neu lai
agentImporterManualAddress.line2.heading	Address line 2 (optional)	Cyfeiriad – llinell 2 (dewisol)
agentImporterManualAddress.line2.error.length	Address line 2 must be 128 characters or less	Mae’n rhaid i gyfeiriad – llinell 2 fod yn 128 o gymeriadau neu lai
agentImporterManualAddress.city.heading	Town or city	Tref neu ddinas
agentImporterManualAddress.city.error.required	Enter city	Nodwch ddinas
agentImporterManualAddress.city.error.length	City must be 64 characters or less	Mae’n rhaid i’r ddinas fod yn 64 o gymeriadau neu lai
agentImporterManualAddress.region.heading	County	Sir
agentImporterManualAddress.region.error.required	Enter region	Nodwch ranbarth
agentImporterManualAddress.region.error.length	Region must be 64 characters or less	Mae’n rhaid i’r rhanbarth fod yn 64 o gymeriadau neu lai
agentImporterManualAddress.countryCode.heading	Country	Gwlad
agentImporterManualAddress.countryCode.error.required	Enter country code	Nodwch god y wlad
agentImporterManualAddress.countryCode.error.length	Country code must be 64 characters or less	Mae’n rhaid i god y wlad fod yn 64 o gymeriadau neu lai
agentImporterManualAddress.postalCode.heading	Post Code	Cod post
agentImporterManualAddress.postalCode.error.invalid	Enter a real postcode	Nodwch god post go iawn
bankDetails.title	Enter UK bank details	Nodwch fanylion banc yn y DU
bankDetails.heading	Enter UK bank details	Nodwch fanylion banc yn y DU
bankDetails.checkYourAnswersLabel	Bank details	Manylion banc
bankDetails.name.heading	Name on the account	Yr enw sydd ar y cyfrif
bankDetails.name.hint	Enter your name as it appears on your bank statement.	Nodwch eich enw fel y mae’n ymddangos ar eich cyfriflen banc
bankDetails.name.error.required	Enter the name on the account	Nodwch yr enw sydd ar y cyfrif
bankDetails.name.error.length	Name on the account must be 40 characters or less	Mae’n rhaid i’r enw sydd ar y cyfrif fod yn 40 o gymeriadau neu lai
bankDetails.sortCode.heading	Sort code	Cod didoli
bankDetails.sortCode.hint	Must be 6 digits long.	Mae’n rhaid i hyn fod yn 6 digid.
bankDetails.sortCode.error.required	Enter a sort code	Nodwch god didoli
bankDetails.sortCode.error.invalid	Enter a valid sort code	Nodwch god didoli dilys
bankDetails.accountNumber.heading	Account number	Rhif y cyfrif
bankDetails.accountNumber.hint	Must be between 6 and 8 digits long.	Mae’n rhaid i hyn fod rhwng 6 ac 8 digid.
bankDetails.accountNumber.error.required	Enter an account number	Nodwch rif cyfrif
bankDetails.accountNumber.error.invalid	Enter a valid account number	Nodwch rif cyfrif dilys
bankDetails.accountNumber.error.length	Account number must be between 6 and 8 digits	Mae’n rhaid i rif y cyfrif fod rhwng 6 ac 8 digid
bankDetails.bars.validation.failed	Unable to validate bank account details	Methu dilysu manylion cyfrif banc
bankDetails.bars.validation.sortcodeNotFound	Enter a valid sort code	Nodwch god didoli dilys
bankDetails.bars.validation.modCheckFailed	Account number must be valid for the given sort code	Mae’n rhaid i rif y cyfrif fod yn ddilys ar gyfer y cod didoli a roddwyd
bankDetails.bars.validation.rollRequired	Enter details of a bank account or building society account that does not require a roll number	Nodwch fanylion cyfrif banc neu gyfrif cymdeithas adeiladu nad oes angen rhif rôl arno
bankDetails.bars.validation.bacsNotSupported	This bank account cannot receive Bacs payments. Enter a bank account that can receive Bacs payments	Ni all y cyfrif banc hwn dderbyn taliadau BACS. Nodwch gyfrif banc sy’n gallu derbyn taliadau BACS
bankDetails.bars.validation.accountInvalid	Enter a real bank account	Nodwch gyfrif banc go iawn
bankDetails.bars.validation.companyNameInvalid	Enter the name as it appears on the bank account	Nodwch yr enw fel y mae’n ymddangos ar y cyfrif banc
importerAddressConfirmation.title	Select your address	Dewiswch eich cyfeiriad
importerAddressConfirmation.heading	Select your address	Dewiswch eich cyfeiriad
importerAddressConfirmation.link1	change	newid
importerAddressConfirmation.link2	I can’t find my address in the list	Ni allaf ddod o hyd i’m cyfeiriad yn y rhestr
importerAddressConfirmation.address	Select an address	Dewiswch gyfeiriad
agent.importerAddressConfirmation.title	Select the importer’s address	Dewiswch gyfeiriad y mewnforiwr
agent.importerAddressConfirmation.heading	Select the importer’s address	Dewiswch gyfeiriad y mewnforiwr
agentImporterAddressConfirmation.title	Select your business address	Dewiswch gyfeiriad eich busnes
agentImporterAddressConfirmation.heading	Select your business address	Dewiswch gyfeiriad eich busnes
repaymentAmountSummary.title	Return amount summary	Crynodeb o’r symiau i’w talu’n ôl
repaymentAmountSummary.heading	Return amount summary	Crynodeb o’r symiau i’w talu’n ôl
repaymentAmountSummary.customsduty	Customs Duty	Toll Dramor
repaymentAmountSummary.customsduty.0	Amount that was paid	Y swm a dalwyd
repaymentAmountSummary.customsduty.1	Amount that should have been paid	Y swm y dylid bod wedi’i dalu
repaymentAmountSummary.customsduty.2	Total Customs Duty return amount	Cyfanswm y Doll Dramor i’w thalu’n ôl
repaymentAmountSummary.vat	VAT	TAW
repaymentAmountSummary.vat.0	Amount that was paid	Y swm a dalwyd
repaymentAmountSummary.vat.1	Amount that should have been paid	Y swm y dylid bod wedi’i dalu
repaymentAmountSummary.vat.2	Total VAT return amount	Cyfanswm y TAW i’w thalu’n ôl
repaymentAmountSummary.otherduties	Other duties	Tollau eraill
repaymentAmountSummary.otherduties.0	Amount that was paid	Y swm a dalwyd
repaymentAmountSummary.otherduties.1	Amount that should have been paid	Y swm y dylid bod wedi’i dalu
repaymentAmountSummary.otherduties.2	Total other duties return amount	Cyfanswm y tollau eraill i’w talu’n ôl
repaymentAmountSummary.total	Total	Cyfanswm
repaymentAmountSummary.total.amount	Total return amount	Cyfanswm i’w dalu’n ôl
repaymentAmountSummary.summary	The total return amount will be checked and the final return amount will be confirmed in writing.	Bydd y cyfanswm i’w dalu’n ôl yn cael ei wirio a bydd y swm terfynol i’w dalu’n ôl yn cael ei gadarnhau’n ysgrifenedig.
repaymentAmountSummary.total.checkYourAnswersLabel	Total return amount	Cyfanswm i’w dalu’n ôl
fileUpload.title	Upload a file	Uwchlwytho ffeil
fileUpload.heading	Upload a file	Uwchlwytho ffeil
additionalFileUpload.title	You have uploaded x file	Rydych wedi uwchlwytho x ffeil
additionalFileUpload.heading	You have uploaded x file	Rydych wedi uwchlwytho x ffeil
additionalFileUpload.01	Yes	Iawn
additionalFileUpload.02	No	Na
additionalFileUpload.checkYourAnswersLabel	Do you need to upload another file?	A oes angen i chi uwchlwytho ffeil arall?
additionalFileUpload.error.required	Select yes if you need to upload another file	Dewiswch ‘Iawn’ os oes angen i chi uwchlwytho ffeil arall
postcode.error.noneFound	Postcode cannot be found	Ni ellir dod o hyd i’r cod post
addressFound.error	Select the address or enter the address manually	Dewiswch y cyfeiriad neu nodwch y cyfeiriad â llaw
postcode.error.required	Enter a UK postcode	Nodwch god post yn y DU
postcode.error.length	Enter a postcode, like AA1 1AA	Nodwch god post, megis AA1 1AA
indirectRepresentative.title	Are you an indirect representative of the importer?	A ydych yn gynrychiolydd anuniongyrchol i’r mewnforiwr?
indirectRepresentative.heading	Are you an indirect representative of the importer?	A ydych yn gynrychiolydd anuniongyrchol i’r mewnforiwr?
indirectRepresentative.checkYourAnswersLabel	Are you an indirect representative?	A ydych yn gynrychiolydd anuniongyrchol?
indirectRepresentative.error.required	Select if you are an indirect representative of the importer	Dewiswch a ydych yn gynrychiolydd anuniongyrchol i’r mewnforiwr
proofOfAuthority.title	Upload proof of authority	Uwchlwytho tystiolaeth o awdurdod
proofOfAuthority.heading	Upload proof of authority	Uwchlwytho tystiolaeth o awdurdod
proofOfAuthority.paragraph1	You must show that the importer has given you authority to receive payment for this specific application	Mae’n rhaid i chi ddangos bod y mewnforiwr wedi rhoi’r awdurdod i chi gael taliadau ar gyfer y cais penodol hwn
proofOfAuthority.paragraph2	Upload a file	Uwchlwytho ffeil
proofOfAuthority.error.required	Upload proof of authority	Uwchlwytho tystiolaeth o awdurdod
